fldOeeRegTableKeyID,fldOeeRegNr,fldOeeMachineCode,fldOeeMachineID,fldOeeMachineDescription,fldOeeMachineStatusID,fldOeeMachineStatusDescription,fldOeeCountryID,fldOeeCountryDescription,fldOeePlantID,fldOeePlantDescription,fldOeeSubPlantID,fldOeeSubPlantDescription,fldOeeDepartmentID,fldOeeDepartmentDescription,fldOeeStartDateTime,fldOeeEndDateTime,fldOeeActivityDuration,fldOeeTeamID,fldOeeTeamDescription,fldOeeTeamColorID,fldOeeTeamColorDescription,fldOeeShiftTimeID,fldOeeShiftTimeDescription,fldOeeShiftStartDateTime,fldOeeShiftEndDateTime,fldOeeShiftDuration,fldOeeAverageSpeed,fldOeeNormSpeed,fldOeeCounter,fldOeeCounterUnitID,fldOeeCounterUnitDescription,fldOeeActivityGroupID,fldOeeActivityGroupDescription,fldOeeActivityID,fldOeeActivityDescription,fldOeeArticleNr,fldOeeArticleDescription,fldOeeOrderNr,fldOeeOrderDescription,fldOeeUserLogInformation,fldOeeUserShiftLogInformation,fldOeeCurrentPerformance,fldOeeCurrentAvailability,fldOeeCurrentQuality,fldOeeCurrentOee,fldOeeActivityGroupCalcForOee,fldOeeDateModified,fldOeeSyncDate,fldOeeSync
1,153,1477,3,Jeden Test 1,6,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:15:00,,0,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,,65,0,1,Meters,0,Predefined,0,Manual exit OEECollector,,,,,,,218,100,100,139,1,,,
2,154,1477,3,Jeden Test 1,7,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:15:17,2016-03-24 16:15:25,8,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,,65,16,1,Meters,0,Predefined,0,Start OEECollector,,,,,,,100,100,100,100,0,,,
3,155,1477,3,Jeden Test 1,2,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:15:25,2016-03-24 16:26:32,667,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,100,65,1397,1,Meters,0,Production,0,110108H5 - VULT 2G1.5,110108H5,VULT 2G1.5,,,,,100,100,100,100,1,,,
4,156,1477,3,Jeden Test 1,3,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:26:32,2016-03-24 16:28:37,125,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,100,65,0,1,Meters,0,Short break,71,Short break,,,,,,,100,84,100,95,1,,,
5,157,1477,3,Jeden Test 1,5,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:28:37,2016-03-24 16:46:37,1080,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,9,1,Meters,1,Idle,25,Setting rolls,,,,,,,100,36,100,79,1,,,
6,158,1477,3,Jeden Test 1,2,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:46:37,2016-03-24 16:49:00,143,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,19,65,45,1,Meters,0,Production,0,110108H5 - VULT 2G1.5,,,110108H5,VULT 2G1.5,,,100,38,100,79,1,,,
7,159,1477,3,Jeden Test 1,3,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:49:00,2016-03-24 16:51:04,124,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,10,65,0,1,Meters,0,Short break,71,Short break,,,,,,,100,38,100,79,1,,,
8,160,1477,3,Jeden Test 1,5,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:51:04,2016-03-24 16:54:37,213,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,9,1,Meters,3,Line restraints,43,No drums,,,,,,,100,38,100,79,1,,,
9,161,1477,3,Jeden Test 1,5,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:54:37,2016-03-24 16:54:47,10,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,100,65,30,1,Meters,2,Failure,38,Waiting for TS,,,,,,,100,38,100,79,1,,,
10,162,1477,3,Jeden Test 1,2,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:54:47,2016-03-24 16:57:29,162,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,0,65,408,1,Meters,0,Production,0,110108H5 - VULT 2G1.5,110108H5,VULT 2G1.5,,,,,100,38,100,79,1,,,
11,163,1477,3,Jeden Test 1,6,,1,Netherlands,1,Emmen,1,Emmen 1,1,Koperhoek,2016-03-24 16:57:29,,0,0,,0,0,0,,2016-01-01 00:00:00,2016-01-01 00:00:00,0,,65,0,1,Meters,0,Predefined,0,Manual exit OEECollector,,,,,,,100,38,100,79,1,,,
